City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
escanaba,45.7455707,-87.0647434,1.09,93,20,2.57,US,1647611651
dryden,42.4909053,-76.2971553,16.05,76,0,1.54,US,1647611652
rikitea,-23.1229544,-134.9680141,26.55,80,13,5.1,PF,1647611653
yeppoon,-23.1348035,150.7436625,24.01,75,97,7.61,AU,1647611654
georgetown,6.8137426,-58.1624465,28.16,82,64,4.43,GY,1647611654
punta arenas,-53.1625688,-70.907822,6.16,65,0,3.09,CL,1647611655
pevek,69.7028171,170.2746851,-27.45,92,14,4.15,RU,1647611656
lompoc,34.6391501,-120.4579409,10.29,97,100,3.09,US,1647611657
mount gambier,-37.8246698,140.7820067624113,11.11,87,0,3.6,AU,1647611657
muros,40.678061,8.617315,12.25,65,100,6.15,IT,1647611658
bethel,60.7922222,-161.7558333,-10.99,85,100,2.06,US,1647611659
khandbari,27.3666794,87.20679989776897,22.37,41,25,0.85,NP,1647611660
mys shmidta,68.8928813,-179.4130958,-26.49,77,0,3.61,RU,1647611660
grindavik,63.844239,-22.4317498,0.18,93,100,7.72,IS,1647611661
albany,42.6511674,-73.754968,14.31,96,100,3.09,US,1647611662
puerto ayora,-0.7471674,-90.3134198,27.33,74,0,1.84,EC,1647611663
buzmeyin,38.0547912,58.1496045,5.71,62,100,4.13,TM,1647611663
illoqqortoormiut,70.4850588,-21.9641992,-7.83,81,100,2.63,GL,1647611664
comodoro rivadavia,-45.8632024,-67.4752615,12.25,37,0,4.63,AR,1647611665
hoquiam,46.980929,-123.889335,7.78,95,100,1.47,US,1647611666
camacupa,-12.0203585,17.4763605,24.02,61,71,1.78,AO,1647611667
qaanaaq,77.4686357,-69.2222746,-23.23,89,100,2.75,GL,1647611667
lorengau,-2.0329567,147.2789185,28.06,71,13,4.53,PG,1647611668
bairiki,1.3296193,172.9777542,27.01,83,40,6.17,KI,1647611669
bredasdorp,-34.533055,20.042778,25.56,53,3,6.24,ZA,1647611670
mataura,-46.192734,168.8642685,12.49,95,100,1.77,NZ,1647611671
atuona,-9.77932315,-139.06194910808324,20.57,70,0,8.14,PF,1647611672
noyabrsk,63.2002917,75.4475807,-4.53,94,100,6.15,RU,1647611673
cururupu,-1.824255,-44.872996,28.98,72,100,1.96,BR,1647611673
svetlyy,64.04203,42.697319,1.26,95,6,2.83,RU,1647611674
jaguaribe,-5.8854585,-38.6212957,31.9,49,92,2.3,BR,1647611676
ushuaia,-54.806115899999995,-68.3184972880496,2.83,75,75,9.26,AR,1647611677
bajil,67.2090363,23.3647298,5.94,61,20,4.12,SE,1647611678
hermanus,-34.4175,19.2361111,30.47,64,7,8.02,ZA,1647611678
yellowknife,62.4540807,-114.377385,-12.25,95,40,2.57,CA,1647611679
dikson,73.5083894,80.5123816,-11.64,100,54,4.34,RU,1647611680
saskylakh,71.9649533,114.0939433,-14.74,94,100,5.79,RU,1647611681
grand river south east,-20.2907247,57.7851931,29.16,94,75,2.57,MU,1647611682
sao joao da barra,-21.6348588,-41.0487079,30.06,73,0,5.36,BR,1647611683
mehamn,71.0349713,27.8517178,2.86,81,98,9.65,NO,1647611683
santa cruz,28.469648,-16.2540884,21.52,73,75,3.09,ES,1647611684
jhabua,22.7696741,74.591217,33.26,12,7,3.51,IN,1647611685
bluff,-46.6014038,168.3398682,12.74,85,100,3.64,NZ,1647611686
bac lieu,9.2824882,105.7260685,27.63,77,99,3.41,VN,1647611565
tura,47.3900474,0.6889268,13.86,54,0,9.26,FR,1647611687
mountain home,43.1329504,-115.691197,-1.29,100,0,1.54,US,1647611688
busselton,-33.644499,115.3488754,20.98,83,100,3.81,AU,1647611689
adre,13.4664563,22.1977187,31.25,7,99,0.75,TD,1647611689
caravelas,-17.7296514,-39.2660082,29.38,61,36,3.02,BR,1647611690
sao felix do xingu,-6.6386974,-51.9787582,26.39,83,99,0.53,BR,1647611691
nagua,19.374794,-69.8530503,23.97,83,20,0.0,DO,1647611692
airai,-8.92655,125.40922,16.17,94,100,0.79,TL,1647611693
tasiilaq,65.6152573,-37.6378149,-7.29,81,77,2.99,GL,1647611693
arraial do cabo,-22.9662839,-42.024427,29.99,62,0,7.2,BR,1647611694
hobart,-42.8825088,147.3281233,11.68,81,46,0.51,AU,1647611695
butaritari,2.9205375,172.91886331442205,26.82,82,16,8.11,KI,1647611696
berlevag,70.79904505,29.150528646532546,0.67,75,40,12.86,NO,1647611697
jamestown,37.2104434,-76.7738928,15.7,96,100,0.0,US,1647611698
de-kastri,51.475426,140.768982,-7.59,97,100,2.3,RU,1647611698
tuktoyaktuk,69.4465095,-133.0340333538775,-28.0,83,20,1.54,CA,1647611699
saint-philippe,45.3584499,-73.4790045,7.29,91,0,3.6,CA,1647611700
avarua,-21.2074736,-159.7708145,22.99,100,84,1.03,CK,1647611701
thinadhoo,0.5326429,72.99714160821568,29.17,67,100,6.07,MV,1647611701
nanortalik,60.1400246,-45.2428523,-6.96,56,12,3.27,GL,1647611702
hilo,19.7073734,-155.0815803,21.77,98,97,0.45,US,1647611703
tsihombe,-25.318547,45.484057,23.57,85,99,6.07,MG,1647611704
bambous virieux,-20.347199500000002,57.76474767388835,29.18,94,75,2.57,MU,1647611705
kirakira,-10.4568963,161.9201736,26.65,83,100,1.52,SB,1647611706
lebu,-37.6099644,-73.6559477,13.01,55,1,6.61,CL,1647611707
skjervoy,70.17099735,20.69898970978413,1.38,74,100,19.31,NO,1647611707
kapaa,22.0747334,-159.3191601,21.99,78,80,6.08,US,1647611708
emba,48.829453,58.147369,-14.9,89,62,3.36,KZ,1647611709
san patricio,27.9695325,-97.7731720386266,17.06,52,3,8.23,US,1647611710
san quintin,30.5613719,-115.9381624,14.65,79,100,2.67,MX,1647611711
carnarvon,-24.8826131,113.6576486,26.99,74,44,7.2,AU,1647611711
strathpeffer,57.5880136,-4.5381918,11.17,63,100,3.73,GB,1647611712
cape town,-33.928992,18.417396,23.36,62,0,9.77,ZA,1647611713
vardo,70.3308174,30.961751972265887,1.38,80,40,15.95,NO,1647611714
ngunguru,-35.6333633,174.5007751,17.22,88,92,3.04,NZ,1647611714
upernavik,72.7847392,-56.1469625,-26.87,74,30,1.91,GL,1647611715
chuy,-33.6937948,-53.4561114,21.94,83,66,7.57,BR,1647611716
los llanos de aridane,28.6592569,-17.9152016,18.86,74,40,3.13,ES,1647611717
ribeira grande,37.8225227,-25.5194914,17.85,83,20,10.29,PT,1647611717
ilulissat,69.2197127,-51.0986385,-17.27,84,100,0.84,GL,1647611718
castro,45.802987,10.06706,14.31,93,100,0.44,IT,1647611719
totskoye,52.530071,52.748413,-7.0,93,78,1.69,RU,1647611720
cidreira,-30.1657063,-50.218331,28.75,58,82,0.92,BR,1647611721
waw,17.4771259,96.6756871,29.18,51,15,3.42,MM,1647611721
port alfred,-33.5981844,26.8914772,25.55,64,0,5.91,ZA,1647611722
kodiak,57.79,-152.4072222,-2.27,69,100,7.2,US,1647611723
lincoln,40.8088861,-96.7077751,3.93,94,100,1.79,US,1647611724
mahebourg,-20.4111041,57.7060616,29.08,94,75,2.57,MU,1647611725
okha,53.5891082,142.9497542,-8.39,99,100,1.4,RU,1647611726
korla,41.7238743,86.173541,12.5,37,25,8.82,CN,1647611726
port elizabeth,-33.9617051,25.6207519,26.06,57,0,3.6,ZA,1647611727
kahului,20.8894101,-156.4727118,23.77,84,74,5.36,US,1647611728
dunedin,-45.8740984,170.5035755,12.11,77,100,1.34,NZ,1647611729
ahipara,-35.1664105,173.1562074,16.58,91,90,1.53,NZ,1647611730
